Goshen,Nectandra,presanguinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Ficus,quisumbingi,Chaney and Sanborn 1933,,,,,,,Marginal,,,,,,,,2,present,present,,,,,,,Unlobed,Dentate to Serrate,,acute,present,present,,,present,,,acute,present,present,,,,,,,,,,,,,,,,pinnate,absent,1,Absent,Simple Brochidodromous,Absent,,,Regular,Smoothly increasing proximally,Excurrent,,,,,,Percurrent,Opposite percurrent - Sinuous,Obtuse to perpendicular,increasing exmedially,Opposite percurrent,Perpendicular to the midvein,Parallel to intercostal tertiary,looped,Opposite percurrent,,,,,,irregular,2,,rounded,st st,st cc,cv cv,cc cc,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Magnolia,reticulata,Chaney and Sanborn 1933,,,,,,,Marginal,,,,,,,,3,present,,,,,,Symmetrical,Symmetrical,Unlobed,Untoothed,,acute,,,,,present,,,acute,present,,present,present,,,,,,,,,,,,,,pinnate,absent,1,Absent,Simple Brochidodromous,Absent,,,Decreasing proximally,Uniform,Decurrent,Present,Parallel to major secondaries,More than 50% of subjacent secondary,Perpendicular to a subjacent major secondary,Less than one per intercostal area,Regular reticulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Meliosma,rostrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Cordia,rotunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Hydrangea,russelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Lucuma,standleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Sapium,standleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Ficus,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Allophylus,wilsoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Callichlamys,zeteki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Pterocarya,mixta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Fagus,nasuensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,(Fagaceae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Cinnamomophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Exbucklandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Magnoliaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Platanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Potentilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Pterocarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumboot Mountain,Pterocrya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haselbach,Rhodomyrtophyllum,Rhodomyrtophyllum reticulosum,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klausa,Daphnogene,Daphnogene lanceolata,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klausa,Platanus,Platanus fraxinifolia,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klausa,Platanus,Platanus neptuni,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klausa,Platanus,Platanus neptuni m. fraxinifolia,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klausa,Rhodomyrtophyllum,Rhodomyrtophyllum,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsaubernitz,Acer,Acer haselbachense,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Lobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsaubernitz,Alnus,Alnus phocaeensis,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsaubernitz,Carpinus,Carpinus grandis,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsaubernitz,Eotrigonobalanus,Eotrigonobalanus furcinervis ssp. haselbachensis,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsaubernitz,Magnolia,Magnolia,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsaubernitz,Majanthemophyllum,Majanthemophyllum petiolatum,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsaubernitz,Platanus,Platanus neptuni,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsaubernitz,Quercus,Quercus praerhenana,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Ailanthus,Ailanthus palaeorhus,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,-,Camptodromites,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,-,Cedrelospermum,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,-,Craspedodromophyllum betuloides,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Daphnogene,Daphnogene cinnamomifolia,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Engelhardia,Engelhardia orsbergensis,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,-,Juglandiphyllites,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Laurophyllum,Laurophyllum,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Matudaea,Matudaea menzelii,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Platanus,Platanus neptuni,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Podocarpium,Podocarpium hirsutum,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,-,Pungiphyllum heerii,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Sloanea,Sloanea nimrodi,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,unlobed,toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Sterculia,Sterculia crassinervia,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,lobed,Untoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Ternstroemites,Ternstroemites,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuclin,Tremophyllum,Tremophyllum microphyllum,MORPHYLL,,,,,,,,,,,,,,,,,,,,,,,,Unlobed,Toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Cinnamomum,acrodroreum,Potbury 1935 (not much to do),,,,,,,Marginal,,,,,,,,5,present,,,,,,Symmetrical,Width Asymmetrical,,,,acute,,,,,present,,,acute,present,,,,,,,,,,,,,,,,,Basal acrodromous,absent,3,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Aleurites,americana,Potbury 1935,,,,,,,Marginal,,,,,,,,1,,,present,,,,Symmetrical,Symmetrical,Unlobed,Untoothed,,acute,,,present,,,,,obtuse,,,present,,,,,,,,,,,,,,,Basal actinodromous,absent,3,present,Simple brochidodromous,Present,Simple brochidodromous,,Irregular,Inconsistent,Excurrent,Present,Parallel to major secondaries,Less than 50% of subjacent secondary,,Less than one per intercostal area,Percurrent,Opposite percurrent - Straight,Obtuse,Increasing exmedially,Mixed percurrent,Perpendicular to the midvein,Basiflexed,Terminating at the margin,Mixed percurrent,,Good Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Liquidambar,californicum,Potbury 1935,,,,,,,Marginal,,,,,,,,.8,,,present,,,,Asymmetrical,Asymmetrical,Palmately Lobed,Dentate,,acute,present,,,,,,,reflex,,,,,,,,,present,,,,,,,,,Basal actinodromous,absent,5,Compound,Craspedodromous,Present,Craspedodromous,,Gradually increasing proximally,Abruptly increasing proximally,Proximal secondaries deucrrent,,,,,,Regular reticulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Chrysophyllum,conforme,Potbury 1935,,,,,,,Marginal,,,,,,,,1.8,present,,,,,,Symmetrical,Symmetrical,Unlobed,Untoothed,,Acute,present,,,,,,,acute,present,,,,,,,,,,,,,,,,,Pinnate,absent,1,absent,Craspedodromous,,,,Regular,Smoothly decreasing proximally,Excurrent,Present,Parallel to major secondaries,More than 50% of subjacent secondary,Reticulating or ramifying,Usually one per intercostal area,Transversly freely ramified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Styrax,curvatus,Potbury 1935,,,,,,,Marginal,,,,,,,,2,,,present,,,,Asymmetrical,Width Asymmetrical,Unlobed,Untoothed,,Acute,,,present,,,,,Acute,present,,present,,,,,,,,,,,,,,,Pinnate,absent,1,absent,Festooned brochidodromous,,,,Decreasing proximally,Uniform,Proximal secondaries deucrrent,Present,Parallel to major secondaries,Less than 50% of subjacent secondary,Perpendicular to a subjacent major secondary,Usually one per intercostal area,Percurrent,Alternate percurrent,Obtuse,Increasing exmedially,Mixed percurrent,Perpendicular to the midvein,Basiflexed,Looped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Cinnamomum,dilleri,Matt from LMA picture and Potbury 1935,,,,,,,Marginal,,,,,,,,2,present,,,,,,Symmetrical,Insertion Asymmetrical,Unlobed,Untoothed,,Obtuse,,present,,,,,,acute,present,,,,,,,,,,,,,,,,,Basal acrodromous,present,3,absent,Simple brochidodromous,,Simple brochidodromous,,Gradually increasing proximally,Uniform,Excurrent,Absent,,,,,Percurrent,Opposite percurrent - chevron,Perpendicular,Consistent,Opposite percurrent,Perpendicular to the midvein,Parallel to intercostal tertiary,Looped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Leguminosites,falcatum,Potbury 1935,,,,,,,Marginal,,,,,,,,2.3,,present,present,,,,Asymmetrical,Symmetrical,Unlobed,Untoothed,,Acute,present,,,,present,,,acute,present,,present,,,,,,,,,,,,,,,Pinnate,Absent,1,absent,Festooned brochidodromous,,,,Irregular,Smoothly decreasing proximally,Decurrent,Present,Parallel to major secondaries,More than 50% of subjacent secondary,Perpendicular to a subjacent major secondary,Usually one per intercostal area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Ficus,goshenensis,Matt from LMA picture and Potbury 1935,,,,,,,Marginal,,,,,,,,2.3,,present,,,,,Symmetrical,Symmetrical,Unlobed,Untoothed,,Obtuse,,,,,present,,,acute,present,,,,,,,,,,,,,,,,,Pinnate,absent,1,absent,Brochidodromous,,,,Irregular,Inconsistent,Excurrent,Present,Parallel to major secondaries,,,,Percurrent,Opposite percurrent - Sinuous,Obtuse,Increasing exmedially,Opposite percurrent,Perpendicular to the midvein,Basiflexed,Looped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Meliosma,goshenensis,Matt from LMA picture and Potbury 1935,,,,,,,Marginal,,,,,,,,3,present,,,,,,Symmetrical,Symmetrical,Unlobed,Serrate,,Acute,,,,,present,,,Acute,,,,,,,,present,,,,,,,,,,Pinnate,absent,1,absent,Semicraspedodromous,,,,Regular,Uniform,Excurrent,Absent,,,,,Percurrent,Opposite percurrent - Sinuous,Obtuse,Increasing exmedially,Opposite percurrent,Acute to the midvein,Basiflexed,Looped,,,,,,,Regular,1,,Rounded,CC ST,CC CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Tabernaemontana,intermedia,Potbury 1935,,,,,,,Marginal,,,,,,,,2.3,present,,,,,,Symmetrical,Symmetrical,Unlobed,Untoothed,,acute,,,,,present,,,acute,present,,,,,,,present,,,,,,,,,,Pinnate,absent,1,absent,Simple brochidodromous,,,,Irregular,Inconsistent,Excurrent,Present,Parallel to major secondaries,Less than 50% of subjacent secondary,Perpendicular to a subjacent major secondary,Less than one per intercostal area,Percurrent,Opposite percurrent - Straight,Obtuse,Increasing exmedially,Opposite percurrent,Perpendicular to the midvein,Basiflexed,Looped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Porte,Laurophyllum,intermediam,Potbury 1935,,,,,,,Marginal,,,,,,,,2.5,present,,,,,,Symmetrical,Symmetrical,Unlobed,Untoothed,,Acute,,,,,present,,,acute,present,,,,,,,,,,,,,,,,,Pinnate,absent,1,absent,Festooned brochidodromous,,,,Irregular,Uniform,Decurrent,,,,,,Percurrent,Mixed percurrent,Obtuse,Decreasing exmedially,Mixed percurrent,Perpendicular to the midvein,Basiflexed,Looped,Mixed percurrent,Regular reticulate,Good Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
